RandomRatio	AUPR	BP_Resolution	Total_GoldStandard_Bins	Precision_at_5%_Recall	Precision_at_10%_Recall	RandomAUPR	log2FC_AUPR_AUPR_Random	TF
0.0	0.3847250403852407	200.0	3905.0	0.7530153056591582	0.6693560898027311	0.0034355161104151124	6.8585426784749925	ARID3A
0.0	0.1811627654303921	200.0	1337.5	0.4536292023393979	0.3425311830423581	0.0011766972593291198	6.815034729319676	ARNT
0.0	0.6540265454487281	200.0	7674.0	0.9647983755138984	0.9483356421580166	0.006751383004180684	6.689168106564839	ATF2
0.0	0.18084096460988464	200.0	2203.5	0.4650981845952955	0.36694742399300595	0.001938581241818105	6.568142204270539	ATF3
0.0	0.43722025813519927	200.0	8540.0	0.8688429900148769	0.7805767015201461	0.00751326698666967	5.846747092715756	ATF7
0.0	0.45377868938782917	200.0	3926.5	0.8884557064300534	0.8194762937686483	0.003454431243929562	6.760995124984899	BHLHE40
0.0	0.5414271499554117	200.0	4633.0	0.944991819827346	0.8849175576942098	0.0040759913289508875	6.98832704080003	CEBPB
0.0	0.5224387400421828	200.0	6217.0	0.9560526004210061	0.9001358349031241	0.005469552793457299	6.558973587951579	CREB1
0.0	0.5771396752658969	200.0	6516.0	0.9475945755559126	0.9053620334128256	0.005732605115355921	6.540003350068028	CREM
0.0	0.7413204647008876	200.0	14289.5	0.9957439007816384	0.9957295867761295	0.012571525597894175	5.913243374409456	CTCF
0.0	0.1862832380711297	200.0	2153.0	0.4842755239240308	0.437942950646544	0.0018941526724004449	6.693241015422271	CUX1
0.0	0.238226550778364	200.0	1413.0	0.4119108377635456	0.4310749545962542	0.0012431201700426515	7.582224637205383	E2F8
0.0	0.2607554193945413	200.0	1207.0	0.439031051585458	0.4709339154902588	0.0010618867977646711	7.939923450881423	E4F1
0.0	0.3658309778405028	200.0	1403.0	0.6931445397365312	0.6079750316719434	0.0012343224335243028	7.5112835781916205	EGR1
0.0	0.5587030564562387	200.0	3811.0	0.9765739505477594	0.9292324252023272	0.0033528173871426358	7.605615831411316	ELF1
0.0	0.5032587641479778	200.0	1218.0	0.8980081995689198	0.8994100123740083	0.0010715643079348546	8.660605282201399	ELK1
0.0	0.16347817279103694	200.0	582.5	0.4606437282692353	0.36514931281633184	0.0005124681521938035	6.950375942522889	ESRRA
0.0	0.4038925142440165	200.0	2291.0	0.6868220248857063	0.647407570925725	0.002015561436353655	7.273875606002525	ETS1
0.0	0.5702847622304795	200.0	3759.5	0.9528301437834372	0.9184519517567893	0.003307509044073141	7.411055920558676	FOSL2
0.0	0.2370074794087254	200.0	740.0	0.5766181030805142	0.5186449798896835	0.0006510325023577934	8.42755728518277	FOXA1
0.0	0.1653932445217335	200.0	989.0	0.3939776376481578	0.2450742214251908	0.0008700961416646725	7.570509772565735	FOXK2
0.0	0.3096332559798478	200.0	2667.0	0.6092053495145952	0.5460737515706795	0.002346356329443561	6.703826816710757	FOXM1
0.0	0.5809386763428583	200.0	2864.5	0.9903321914011454	0.9503375726192682	0.0025201116256809448	7.69587087306134	GABPA
0.0	0.5247374144021624	200.0	12142.5	0.9406542739259116	0.8965869550177024	0.010682651567404739	5.68123369516613	GATA3
0.0	0.2916656543363938	200.0	4550.0	0.6264424020867577	0.5652173913043478	0.004002970115848594	6.187100853282842	GATAD2B
0.0	0.3894897570721145	200.0	16383.0	0.7391764458605945	0.6870931211409123	0.014413331738010444	4.756109620542954	IKZF1
0.0	0.4046268089527056	200.0	455.0	0.7935470010285282	0.8132714789877358	0.00040029701158485946	10.417176743078121	IRF3
0.0	0.39532089527253705	200.0	4209.0	0.7504232905078057	0.6533701632526405	0.0037029673005729083	6.475669686996275	JUN
0.0	0.3145224488370572	200.0	2392.0	0.6467151112829768	0.5063983146001323	0.0021044185751889753	6.9441712794676205	JUNB
0.0	0.4968326746876548	200.0	6371.0	0.8985940980943811	0.8002638250235034	0.005605037935839867	6.191881375353493	JUND
0.0	0.5235901185096884	200.0	6678.5	0.9266589270828666	0.9078159235711514	0.005875568333779085	6.508116880636484	MAFK
0.0	0.5720548939440291	200.0	9550.0	0.8637715108311461	0.8334865502010246	0.008401838375022874	6.186249475553908	MAX
0.0	0.5402694966558295	200.0	4250.0	0.8247921658072828	0.7996670616465202	0.003739038020298138	7.179004371043948	MAZ
0.0	0.275656321865425	200.0	2077.0	0.6471639692572767	0.5652991420182013	0.0018272898748609957	7.237021361954374	MEF2A
0.0	0.402343118257709	200.0	2006.0	0.7711844062644714	0.6804417762508623	0.001764825945580721	6.1498278353626015	MNT
0.0	0.4772111817658028	200.0	4386.0	0.8223017315514108	0.7621497789779492	0.003858687236947678	6.950373925654647	MXI1
0.0	0.43656730100468155	200.0	5680.5	0.8126832542694511	0.756932587032632	0.0049975542292479	6.391135583218595	MYC
0.0	0.5180722919167305	200.0	1418.0	0.9925584313058908	0.9476875229872308	0.0012475190383018258	8.73122631791012	NFE2L2
0.0	0.4186690868242885	200.0	7216.5	0.7349348536110185	0.7116269620928928	0.006348886558466238	6.0443199970717885	NFIC
0.0	0.0108957487477762	200.0	421.0	0.0337662337662337	0.0147818335633872	0.00037038470742247436	5.173796044489911	NFXL1
0.0	0.4739380101867278	200.0	1000.0	0.9777997210688892	0.9458338091196082	0.0008797736518348559	9.07335026059589	NFYA
0.0	0.3535406977425595	200.0	5571.0	0.7221426825753009	0.6604142931639079	0.004901219014371982	6.17259187380462	NR2F2
0.0	0.6612360224521114	200.0	1987.0	0.9805143751622304	0.977279810318135	0.0017481102461958588	8.50726283431774	NRF1
0.0	0.2464714307853977	200.0	1606.0	0.5686779154432857	0.5134862204322655	0.0014129164848467786	7.446600426247089	PBX3
0.0	0.5596472335463001	200.0	9675.5	0.9539870473432136	0.9164789119088697	0.008512249968328148	5.89335864143227	PKNOX1
0.0	0.2625195016527757	200.0	1597.0	0.6957178003951917	0.6401204668391789	0.001404998521980265	6.555086595104581	POU5F1
0.0	0.4015385174597483	200.0	1955.0	0.9852322781141954	0.9540452277072766	0.0017199574893371433	7.692828670076145	REST
0.0	0.599797388177734	200.0	5437.0	0.9679461509775183	0.9487034184579348	0.004783329345026112	6.970316301610148	RFX1
0.0	0.28902034426451373	200.0	1154.5	0.6154172250235707	0.604330363119761	0.0010156986810433413	8.013599976486418	RFX5
0.0	0.5749043561013865	200.0	10023.5	0.9494134652084094	0.8911582144812777	0.008818411199166678	6.026625201236562	RUNX1
0.0	0.2583704301799335	200.0	2526.0	0.4989230056128415	0.468537885218709	0.002222308244534846	6.309092078423772	RXRA
0.0	0.3674816597339463	200.0	3463.0	0.6609530811827772	0.6253067336955758	0.003046656156304106	7.465910936057556	SP1
0.0	0.6442758214151827	200.0	18765.0	0.9863708206350472	0.9665551058862638	0.01650895257668107	5.286357958503944	SPI1
0.0	0.20826487222772744	200.0	873.5	0.6443128412330941	0.42161693961481317	0.0007684822848777466	7.895577312044886	SREBF1
0.0	0.3321259336308361	200.0	2805.0	0.8885362174756378	0.7421798778006417	0.002467765093396771	6.5677102707052155	SRF
0.0	0.5202546842301854	200.0	4335.0	0.7657222824432159	0.7505525311564457	0.0038138187807041004	6.899275477760529	TBP
0.0	0.3419213202120813	200.0	5359.5	0.6698368396526504	0.6314321593494602	0.004715146887008911	6.211756431642554	TCF12
0.0	0.2738202808559297	200.0	2060.0	0.6903153540516647	0.5383874892244283	0.0018123337227798032	6.941342697034637	TCF7
0.0	0.2300813403620261	200.0	2634.0	0.6111310048233893	0.4968444763244774	0.0023173237989330105	6.063274463697588	TCF7L2
0.0	0.4600000268558254	200.0	5496.5	0.8901807060668492	0.8101854632421153	0.004835675877310285	6.730441895618139	TEAD4
0.0	0.511131135643346	200.0	1986.0	0.9902977483800748	0.9567625763286148	0.0017472304725440239	7.842778515022636	USF1
0.0	0.5458068592392952	200.0	1095.0	1.000574456273915	0.9654908916790793	0.0009633521487591673	9.152696624820091	USF2
0.0	0.0323659724865559	200.0	344.0	0.0608813541173913	0.0888809881426686	0.00030264213623119044	7.079523090843366	YBX1
0.0	0.585487131575027	200.0	5619.5	0.9911831816503843	0.9637900637228967	0.004943888036485973	6.608068432322816	YY1
0.0	0.0341871139693131	200.0	1063.0	0.0663422822521602	0.0657753874805645	0.0009351993919004518	5.101870877063906	ZBTB33
0.0	0.4165763361072691	200.0	3275.5	0.9517177141142021	0.877660303575498	0.0028816985965850707	7.160389263769169	ZBTB40
0.0	0.2143004243338584	200.0	1522.0	0.6383204136587831	0.4933109478863828	0.0013390154980926507	6.9244675446037345	ZEB1
0.0	0.4699819895567936	200.0	3250.5	0.9256454784359894	0.8541287605920099	0.002859704255289199	7.665629673967225	ZFX
0.0	0.2911448544691635	200.0	1445.0	0.6734824318527529	0.6523043615310579	0.0012712729269013668	7.83931951864154	ZKSCAN1
0.0	0.5140506625572279	200.0	7242.0	0.9433872223783524	0.9149982231659354	0.006371320786588027	6.462402613265599	ZNF143
0.0	0.04645495288152	200.0	430.0	0.0966054671562627	0.1041162227602905	0.00037830267028898806	6.940147650370647	ZNF207
0.0	0.3092043319431716	200.0	3068.5	0.7410726605108531	0.600019556218089	0.0026995854506552553	6.89909804588225	ZNF24
0.0	0.4699103069018097	200.0	4773.0	0.9241649501110917	0.8827547984546182	0.004199159640207767	6.880718915880001	ZNF384
0.0	0.1468092596798522	200.0	1862.0	0.2986300233173574	0.2602150537634408	0.0016381385397165017	5.960149152738245	ZNF592
